Set Number,Number of Features,Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Best eps,Best min_samples
36,4,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'Loca_Premi_Freq']",0.7430471523062215,0.6225473061124898,9566.87500811054,74.30471523062215,0.9422332572201056,0.09247849764847321,94.22332572201057,0.5,3
37,4,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'Division_Freq']",0.6747910755177293,0.4955090671757498,9700.031483905534,67.47910755177293,0.7713475233802869,0.35644546319690584,77.13475233802869,0.5,3
38,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'Division_Freq', 'LOCATION_Freq']",0.4966755983502402,0.8837723266384673,3910.594114325544,49.66755983502402,0.5300279953675884,0.7225925769411513,53.002799536758836,1.5,3
39,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'Division_Freq', 'PREMISES_Freq']",0.4637613501406551,0.9288946491241266,3760.990904771047,46.37613501406551,0.5181145270997873,0.8533022728801124,51.81145270997873,1.9,3
40,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'Division_Freq', 'Loca_Premi_Freq']",0.46388806421218765,0.8911709576737672,3753.6951587101175,46.38880642121877,0.5179381544312925,0.839561660925814,51.793815443129255,2.0,3
41,4,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'HOOD_Freq']",0.8594670661499465,0.47473367289585955,22497.947669778925,85.94670661499465,0.8940925355636252,0.11784108100378865,89.40925355636253,0.5,3
42,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'HOOD_Freq', 'LOCATION_Freq']",0.6509149525276332,0.692626277580281,5168.007727093775,65.09149525276332,0.7599582832834906,0.21917555545940123,75.99582832834906,0.5,3
43,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'HOOD_Freq', 'PREMISES_Freq']",0.6397270196466538,0.6917861324817633,5175.493292127541,63.972701964665376,0.7528686672094245,0.2279667373605791,75.28686672094244,0.5,3
44,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'HOOD_Freq', 'Loca_Premi_Freq']",0.6078680700313478,0.8977818934559475,3727.3234265659316,60.78680700313478,0.7328960673351816,0.24519469885546158,73.28960673351817,0.5,3
45,4,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'DIV_HOOD_Hier']",0.8711941727624004,0.46547266632268297,24084.960468160967,87.11941727624004,0.9060744508639063,0.10690389960309822,90.60744508639063,0.5,3
46,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.6078789827659555,0.6322023295758847,3779.1302313402766,60.787898276595556,0.7822614570067755,0.19755191795411078,78.22614570067755,0.5,3
47,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.5924578739410988,0.6547256099806278,3673.1781724199377,59.24578739410988,0.7773553161437412,0.20648926182823735,77.73553161437412,0.5,3
48,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.6466562873179109,0.6686373288466747,5280.066875125978,64.66562873179109,0.7534825534691353,0.22884702838667315,75.34825534691353,0.5,3
49,4,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA']",0.6293684897398374,0.5124960310317173,9029.722775619188,62.936848973983736,0.660914670193828,0.5482900303708413,66.0914670193828,0.5,3
50,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'LOCATION_Freq']",0.5306065319750133,0.8805716706422262,3811.648183408848,53.06065319750133,0.529412826850117,0.7179017435813257,52.9412826850117,1.5,3
